year,agg_level_desc,state_name,state_fips_code,county_name,county_code,county_ansi,commodity_desc,value,unit_desc
1950,COUNTY,MISSOURI,29,CASS,037,037,WHEAT,15.8,BU / ACRE
1950,COUNTY,MISSOURI,29,CARTER,035,035,CORN,35,BU / ACRE
1950,COUNTY,MISSOURI,29,ANDREW,003,003,WHEAT,22.3,BU / ACRE
1950,COUNTY,MISSOURI,29,SHANNON,203,203,CORN,36,BU / ACRE
1950,COUNTY,MISSOURI,29,SCHUYLER,197,197,WHEAT,17.5,BU / ACRE
1950,COUNTY,MISSOURI,29,MILLER,131,131,CORN,40.5,BU / ACRE
1950,COUNTY,MISSOURI,29,SULLIVAN,211,211,WHEAT,17,BU / ACRE
1950,COUNTY,MISSOURI,29,MONROE,137,137,CORN,44.2,BU / ACRE
1950,COUNTY,MISSOURI,29,AUDRAIN,007,007,WHEAT,13.3,BU / ACRE
1950,COUNTY,MISSOURI,29,NEWTON,145,145,SOYBEANS,11.1,BU / ACRE
1950,COUNTY,MISSOURI,29,WRIGHT,229,229,WHEAT,13.8,BU / ACRE
1950,COUNTY,MISSOURI,29,CHARITON,041,041,CORN,47.7,BU / ACRE
1950,COUNTY,MISSOURI,29,BUTLER,023,023,WHEAT,11.9,BU / ACRE
1950,COUNTY,TENNESSEE,47,STEWART,161,161,SOYBEANS,22,BU / ACRE
1950,COUNTY,TENNESSEE,47,WARREN,177,177,WHEAT,12,BU / ACRE
1950,COUNTY,MISSOURI,29,BOLLINGER,017,017,CORN,31.7,BU / ACRE
1950,COUNTY,TENNESSEE,47,WHITE,185,185,WHEAT,12,BU / ACRE
1950,COUNTY,MISSOURI,29,DUNKLIN,069,069,CORN,37.7,BU / ACRE
1950,COUNTY,TENNESSEE,47,ANDERSON,001,001,WHEAT,12,BU / ACRE
1950,STATE,TENNESSEE,47,"",   ,   ,CORN,32.5,BU / ACRE
1950,COUNTY,TENNESSEE,47,BLOUNT,009,009,WHEAT,13,BU / ACRE
1950,COUNTY,MISSOURI,29,DAVIESS,061,061,CORN,56.3,BU / ACRE
1950,COUNTY,TENNESSEE,47,BRADLEY,011,011,WHEAT,11,BU / ACRE
1950,COUNTY,MISSOURI,29,MORGAN,141,141,SOYBEANS,16,BU / ACRE
1950,COUNTY,MISSOURI,29,CAPE GIRARDEAU,031,031,WHEAT,16.7,BU / ACRE
1950,COUNTY,MISSOURI,29,CLAY,047,047,CORN,54.7,BU / ACRE
1950,COUNTY,TENNESSEE,47,CAMPBELL,013,013,WHEAT,13,BU / ACRE
1950,COUNTY,MISSOURI,29,SALINE,195,195,CORN,55.7,BU / ACRE
1950,COUNTY,TENNESSEE,47,CARTER,019,019,WHEAT,14,BU / ACRE
1950,COUNTY,MISSOURI,29,HICKORY,085,085,CORN,36.8,BU / ACRE
1950,COUNTY,TENNESSEE,47,CLAIBORNE,025,025,WHEAT,12,BU / ACRE
1950,COUNTY,TENNESSEE,47,WARREN,177,177,SOYBEANS,15,BU / ACRE
1950,COUNTY,TENNESSEE,47,COCKE,029,029,WHEAT,12,BU / ACRE
1950,COUNTY,MISSOURI,29,STODDARD,207,207,SOYBEANS,22.6,BU / ACRE
1950,COUNTY,MISSOURI,29,DUNKLIN,069,069,WHEAT,16,BU / ACRE
1950,COUNTY,MISSOURI,29,JACKSON,095,095,CORN,52.1,BU / ACRE
1950,COUNTY,TENNESSEE,47,GRAINGER,057,057,WHEAT,12,BU / ACRE
1950,COUNTY,MISSOURI,29,BUTLER,023,023,CORN,34.2,BU / ACRE
1950,COUNTY,TENNESSEE,47,GREENE,059,059,WHEAT,12,BU / ACRE
1950,COUNTY,TENNESSEE,47,WEAKLEY,183,183,SOYBEANS,17.5,BU / ACRE
1950,COUNTY,MISSOURI,29,CLARK,045,045,WHEAT,20.3,BU / ACRE
1950,COUNTY,MISSOURI,29,WARREN,219,219,CORN,44.3,BU / ACRE
1950,COUNTY,MISSOURI,29,MISSISSIPPI,133,133,WHEAT,17.3,BU / ACRE
1950,COUNTY,TENNESSEE,47,OVERTON,133,133,SOYBEANS,17,BU / ACRE
1950,COUNTY,TENNESSEE,47,HAMBLEN,063,063,WHEAT,14,BU / ACRE
